0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:25 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:25 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:26 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:26 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:26 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:26 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:26 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:27 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:27 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:27 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:27 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:28 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:28 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:28 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:28 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
