0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/javascripts/layout.js.xhtml?ln=config HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/javascripts/navegacao.js.xhtml?ln=config HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml?ln=config HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml?ln=config HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:32 -0300] "POST /Vendas/clientes/PesquisaClientes.xhtml HTTP/1.1" 200 8943
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:39 -0300] "POST /Vendas/clientes/PesquisaClientes.xhtml HTTP/1.1" 200 40948
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:51:05 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 24149
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:51:07 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 24147
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:51:07 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 24150
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:51:08 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 24150
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:52:56 -0300] "GET /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 22556
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:52:56 -0300] "GET /Vendas/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:53:16 -0300] "POST /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:54:08 -0300] "POST /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:54:09 -0300] "POST /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:54:12 -0300] "POST /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:54:14 -0300] "POST /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 977
